shot_outcome,shot_pressure,build_up_passes,distance_from_goal,target_variable
Point,Low,0.0,47.75981575,45m Kick
Point,High,3.0,10.44030651,Open Play
Point,Low,11.0,32.55764119,Open Play
Short,Low,7.0,38.27531842,Open Play
Blocked,High,6.0,13.89244399,Open Play
Point,Low,6.0,31.33833764513423,Free Kick from Hands
Point,Medium,4.0,33.37663854,Open Play
Point,Medium,1.0,34.05877273,Open Play
Wide,Medium,4.0,36.23534186,Open Play
Point,Low,1.0,29.73213749,Free Kick from Hands
Point,Medium,16.0,36.138622,Open Play
Short,Medium,8.0,37.10795063,Open Play
Goal,Medium,4.0,14.86606875,Open Play
Wide,Low,0.0,31.33833764513423,Open Play
Point,Low,6.0,35.4682957,Open Play
Point,High,6.1892918402272725,17.80449381,Open Play
Short,Low,2.0,29.41088234,Open Play
Point,Low,0.0,22.02271555,Free Kick from Hands
Point,Low,4.0,28.0,Open Play
Point,Medium,2.0,25.61249695,Open Play
Wide,Low,9.0,41.14608122,Open Play
Wide,Low,5.0,32.55764119,Open Play
Wide,Low,7.0,45.0,Open Play
Point,Low,3.0,39.62322551,Open Play
Short,Medium,9.0,31.33833764513423,Open Play
Wide,Low,9.0,51.03920062,Free Kick from Ground
